Application Code,Application,DBAG_Application Level,Application Type,DBAG_Authenticity,DBAG_Availability,Comment,DBAG_Confidentiality,DBAG_Control of Source Code,DBAG_Current State,Generic Local name,DBAG_Integrity,OwningLegalEntity,DBAG_Long Description,DBG-Max Criticality,DBAG - Number of Message Flows,DBAG_DecomStatus
AID1,AM,Application,Not set,Critical,Critical,Management of account master related reference data,Critical,Internal,onboarding,AM,Critical,LE1,"The AM platform allows the management of account related reference data for the ICSD business needs.
This includes in a first step the management of descriptive data to set-up an account (account name, classification, address, etc), then the most critical settlement related data linked to risk limits and collateral details.
The AM platform offers as well the management of currencies related data, as rates, deadlines, etc.
The AM platform interacts as well with the NCCIP interest calculation, by providing all the underlying account specific calculation rules and reference data.
The AM platform provides the distribution of reference data to dowmstream applications, for example SAP, Custody, Nostro, Datawarehouse.
The AM platform offers as well a large number of internal reports of reference data, as well as combined securtities and cash related reporting.
The AM platform is offering the management of the Target2 directory.
Since November 2013, AM is offering the management of the Agent (Depositories) for Position Management application and a new data model to be T2S compliant in order to prepare 2016 T2S implementation. ",Critical,136,not initiated
AID2,Application-TestID,Application,Not set,None,None,,None,,onboarding,Application-TestID,None,LE2,,None,0,not initiated
AID3,Apply The Best,Application,Not set,None,None,"·	",None,Internal,onboarding,Apply The Best,None,LE3,,None,0,not initiated
AID4,Archibus,Application,Not set,Minor,Major,"Archibus is an in-house computer aided facility managment application for administering and management of equipment inventory, work places and office space.",Minor,,onboarding,Archibus,Major,LE4,"Archibus has a nightly batch interface to recieve and send changes of employee data from SAP HR and PM. 
Interfaces is dubbed ASCOS from ""Asset Controling System"".

Note: 
Interfaces added ""SAP-HR-.."" detail missing - not mapped. 
Employee Data was mapped to ""Employee Information""
",Major,4,not initiated
AID5,BMS,Application,Not set,Minor,Major,"Building Management System (BMS) aka ""German: Gebäudeleittechnik"" monitors mostly  automated, self-sustaining other systems.  
In general a capability to look up consumptions and performance data is provided with partial empowerment to influence operation. ",Minor,,onboarding,BMS,Minor,LE5,"Mostly all connected systems do run completely self-sufficient in case of BMS outage. System is essential part of and rented with the building (""cube""). 
Covered are water (drinking, service, fire water), electricity, electrical power supply, climate control unit and blinds. 
There is a not yet activated potential for an automated ahead heating / cooling based on process weather forecast. 
",Major,0,not initiated
AID6,BMWeb,Application,Not set,None,Critical,CBL Business Monitoring Workstation,Critical,Internal,onboarding,BMWeb,Critical,LE6,"1. BMWeb Alerts
- report alerts detected in RTS/Creation,NCCIP, HUB, Report Server, CmaX, etc.- query of the alert database
- management of alerts (life cycle)
2. BMWeb Scheduler Monitoring
- report the current processing status of jobs scheduled by UC4 scheduler
- display the current schedule with different levels of granularity
- query schedule history of previous schedules up to six month.
3. BMWeb Performance Online Monitoring
reports statistics on daily processing (DTP, RTP):
- instruction volumes as graph according to different criteria (eligible/settled, weekly, ...)
- batch duration
- batch efficiency
- RTP execution summary
4. BMWeb Bridge Online Monitoring
reports statistics on the exchanges with Euroclear:
exchanges in volume (number of instructions) and in cash per depository
5. BMWeb CLM
allows an end-user to perform an account-based monitoring of credit related information:
- instructions due for settlement
- collateral used/available
- credit lines
- cash balances
6. Miscelleanous
- Bridge Transmissions Reporting
- File Delivery Status Monitoring
- Zero Holdings
- Terms & Conditions Report
- Deutsche Bank Reporting (New Issues)
Users:
- Performance online monitoring is used by DEV
- Scheduler by DEV and Bank
- All others (Alerts, CLM, ...) by Bank
Nbr users:
600 (on 22/01/2015)
 ",Critical,38,not initiated
AID7,BMZ,Application,Not set,Minor,Major,"The BMZ is a facility management application. Everything in BMZ is strictly according to legal regulations for fire fighting, fire call and fire panel.
BMZ is German abbreviation for „Brandmeldezentrale“. 
",Minor,,onboarding,BMZ,Minor,LE7,Most of BMZ is especially secured and sheltered. There is a direct line to fire station.,Major,0,not initiated
AID8,Bridge Connectivity,Application,Not set,Critical,Critical,Connectivity with Euroclear,Critical,Internal,onboarding,Bridge Connectivity,Critical,LE8,"Connectivity with Euroclear for instructions and for reference data.
Connectivity with depositories and CBF for reference data.
Specific connectivity for Custody.",Critical,66,not initiated
AID9,C7,Application,Not set,Major,Critical,"C7 as the core clearing system will be the new trade and position management system for listed derivatives. C7 was designed to meet a changing regulatory environment, while at the same time bringing the scalability and flexibility needed to meet evolving product opportunities and high volume demand.",Critical,,onboarding,C7,Minor,LE9,"Key features of the C7 clearing architecture: 
·	Unique system design to support clearing of listed and OTC products (for both derivatives and cash) on a common architecture.
·	Superior client clearing support for different business models based on EMIR compliant segregation models under a configurable account structure.
·	Shorter time-to-market for launching new products and greater responsiveness to changing regulatory demands.
·	Streamlined transaction management through a harmonized processing model and through enhanced netting options across all markets cleared.
·	Simplified system integration through market standard and low footprint interfaces.
·	""Future-proofing"" with the elimination of dependencies on end-of-lifecycle technologies.
·	23 hours a day, 6 days a week availabilit.",Critical,20,not initiated
AID10,Calypso,Application,Not set,Critical,Critical,"Calypso is a clearing platform for OTC derivatives, which was established in 2009 for exotic OTC Products. Its main focus is to provide novation workflow support. 
Calypso is used mainly for the following products:
·	IRS
·	FRA
·	OIS
·	Inflation Swaps
·	VNS",Critical,,onboarding,Calypso,Critical,LE10,"Calypso offers comprehensive account management for clearing client, including: 
·	Account configuration and set-up
·	Client onboarding
·	Cash and collateral agent accounts
·	Fully segregated (ISA) clearing model
·	LSOC rules
·	Omnibus (OSA) clearing model

Calypso has both intra-day and end-of-day connectivity to handle real-time and EOD processes. All clearing workflows are supported, including:
·	Trade notifications
·	Trade import
·	Validation
·	Request consents
·	Transfers
·	Netting/compression
·	Published valuation measures
·	Market data import via StatistiX
·	Standing orders for allocations

Clearing members connect to CCPs, SEFs, trade affirmation platforms and data vendors, via the Calypso Connectivity Framework. Reporting Comprehensive account reporting includes client statements, inventory positions, transactions and balances. Calypso also offers direct connectivity to swap data repositories. Calypso itself does not perform collateral management. It receives the collateral information from Prisma. 
Calypso provides a single global margining framework. Client margining is managed down to the beneficial-owner level and covers risk aggregation, position calculations (net/gross), limits checking and stress testing. 
 ",Critical,25,not initiated
