Name,MetaAttribute Type,Mandatory,MetaAttribute Length,MetaAttribute Format / Cardinality for Linked Objects,Default Value,Remark
Application Code,String,yes,32,Standard,<computed on creation>,"immutable unique value generated on Application creation, format of ""AID<nnn>"", or ""CID<nnnn>"" for components"
Application Level,String,yes,63,Enumeration,,"""A"" = Application, ""C"" = Component"
Application Type,String,yes,2,Enumeration (Opened),Not set,
Authenticity,String,yes,63,Enumeration,None,Risk Attribute
Availability,String,yes,63,Enumeration,None,Risk Attribute
Business Capability,LinkedObject(s),yes,n/a,n,,link/key to Business Capability objects/table
Business Owner,LinkedObject(s),yes,n/a,n,,link/key to Personal Assignment objects/table
Comment (Short Description),VarChar,yes,4,Standard,,
Component,LinkedObject(s),yes,n/a,n,,link/key to Application objects/table
Confidentiality,String,yes,63,Enumeration,None,Risk Attribute
Control of Source Code,String,yes,63,Enumeration,,
Contributor (Local Application Owner),LinkedObject(s),yes,n/a,n,,link/key to Personal Assignment objects/table
Current State,String,yes,63,Enumeration,onboarding,Field used for Application workflow
Exchange (Interfaces),LinkedObject(s),yes,n/a,n,,link/key to Interface objects/table
Generic Local name,String,yes,274,Standard,,
Information Owner,LinkedObject(s),yes,n/a,n,,link/key to Personal Assignment objects/table
Integrity,String,yes,63,Enumeration,None,Risk Attribute
IT Owner,LinkedObject(s),yes,n/a,n,,link/key to Personal Assignment objects/table
Long Description,VarChar,yes,4,Standard,,
Max Criticality,String,yes,63,Enumeration,,Computed Risk Attribute (maximum risk out of all 4 risk attributes)
Number of Message Flows,Long,yes,63,Standard,,Computed value based on number of entered interfaces
Prodcut Line,LinkedObject(s),yes,n/a,0..1,,link/key to Product Line object/table
Software Installation (Version),LinkedObject(s),yes,n/a,n,,link/key to SW Installation objects/table
Technology,LinkedObject(s),yes,n/a,n,,link/key to Technology objects/table
Owning Legal Entity,LinkedObject(s),yes,n/a,0..1,,link/key to Legal Entity object/table
Core Legal Entity,LinkedObject(s),yes,n/a,n,,link/key to Legal Entity objects/table
Using Legal Entity,LinkedObject(s),yes,n/a,n,,link/key to Legal Entity objects/table
Decommission Status,String,yes,63,Enumeration,to be initiated,Field used for Decommission workflow
Decommission User,String,no,32,Standard,,Field used in Decommission process
Internal ID,String,yes,20,internal value,,Exported as unchangeable object ID to CMS
Alias,String,no,225,Standard,,
Application Stereotype,String,no,16,Enumeration,,
Application Style,String,no,63,Enumeration,,
Application Template,String,no,63,Enumeration,,
Attachments,LinkedObject(s),no,n/a,,,
Business Value\APM,String,no,63,Enumeration,,
Cloud Computing,String,no,4,Enumeration,,
Comment Body,VarChar,no,4,Standard,,
Consolidation Potential,String,no,63,Enumeration,,
Converted Name Version,Short,no,,Enumeration (Opened),,
Cost Line,LinkedObject(s),no,n/a,,,
Cost per User,Float,no,63,Currency,,
Current Number of Users,Long,no,,Standard,,
Date of previous Workflow Transition,DateTime,no,63,Standard,,
Expense,LinkedObject(s),no,n/a,,,
Final Status of Technology Compliance,String,no,63,Enumeration,,
Frequency Application,String,no,63,Standard,,
Functional Support\APM,String,no,63,Enumeration,,
GANTT (Deployment Dates),LinkedObject(s),no,n/a,,,
Global Expense,Float,no,63,Currency,,
Hosting Location,LinkedObject(s),no,n/a,,,
Inbound Queue,String,no,225,Standard,,
Log,VarChar,no,4,Standard,XML not completed,
Outbound Queue,String,no,225,Standard,,
Posts,LinkedObject(s),no,n/a,,,
Previous Status (IT and Business data),String,no,63,Enumeration,,
Previous Workflow Transition,MegaIdentifier,no,8,Object,,
Rank\APM,Short,no,4,Enumeration,,
Risk,LinkedObject(s),no,n/a,,,
Subscribers,LinkedObject(s),no,n/a,,,
Technical Efficiency\APM,String,no,63,Enumeration,,
Technology Compliance,String,no,4,Enumeration,,
Technology Compliance Score,String,no,63,Standard,,
Technology Compliance Statut,String,no,63,Enumeration,,
Thread of Posts,LinkedObject(s),no,n/a,,,
Usage Context,LinkedObject(s),no,n/a,,,
Who triggered previous Wokflow Transition,MegaIdentifier,no,8,Object,,
Workflow Status (Financial),String,no,63,Enumeration,,
Workflow Status (IT and Business data),String,no,63,Enumeration,,
