Application ID,Application Code,Name,Max Criticality,Confidentiality,Integrity,Availability,Authenticity
010205DE5ACF61CC,AID393,Access Control ID Card,N,N,N,N,N
02021848574C0AA7,AID254,Settlement Price Calculation,CR,MI,MA,CR,MI
57045B0F5AF11E9A,AID421,FACT,N,N,N,N,N
570465185AF126B2,AID426,Diligent Board Books,N,N,N,N,N
5704C2235AF12989,AID427,Corporate Systems Infrastructure Operations,N,N,N,N,N
57045D2E5AF12213,AID423,COMFLEET,N,N,N,N,N
570461375AF12535,AID425,BluePrism Corporate Tools,N,N,N,N,N
5704596C5AF11C71,AID420,Multicash,N,N,N,N,N
5704C2B05AF12B21,AID428,Corporate Tools Misc,N,N,N,N,N
57045FC25AF123E4,AID424,Corporate Tools DevOps,N,N,N,N,N
57045BDF5AF1204C,AID422,Learning Management Systems,N,N,N,N,N
C607DF5256494064,AID024,RTS,CR,CR,CR,CR,CR
7408D0D756652873,AID209,SAP BW,CR,CR,CR,MA,CR
7408DEFF56652B51,AID210,SAP CRM,CR,CR,CR,CR,CR
,,,,,,,
7B0E7C33561F782D,AID196,General STP Services,CR,CR,CR,CR,CR
7B0E7B94561F7349,AID056,CASCADE PC,CR,CR,CR,CR,CR
7B0E7C99561F7947,AID123,Statistics,MA,MA,MA,MA,MA
7B0E7BE8561F75EF,AID049,Cash Information,MA,MA,MA,MA,MA
2D0F2D615AC77B4A,AID390,Amazon Web Services,N,N,N,N,N
,,,,,,,
,,,,,,,
F313050F564B7D57,AID070,Mainframe (Residual LCS),CR,CR,CR,CR,CR
,,,,,,,
F313038E564B7A42,AID217,Income Monitoring Tool,MA,N,MA,MI,N
F31305E3564B80A4,AID178,Common Code Generator,CR,CR,CR,CR,CR
611A619158243744,AID258,Clarity (CA PPM),MA,MA,MA,MI,MA
EA1AEBBC584F6A1B,AID260,Hyparchive,CR,CR,CR,CR,CR
,,,,,,,
F51B50A65A4E1D9F,AID327,Paper Archive,N,N,N,N,N
C81CC88A5AA77BF5,AID361,Azure Cloud Platform,CR,CR,CR,CR,CR
D91D265A5AA90B5D,AID362,Market Supervision Toolset - minor group,N,N,N,N,N
9E219E8D56027357,AID006,Risk Engine,CR,CR,CR,CR,CR
9E219E8D56027372,AID007,XONTRO,CR,CR,CR,CR,CR
9E219E8D560272AE,AID001,Eurex Classic,CR,CR,CR,CR,CR
9E219E8D560272D3,AID002,XETRA,CR,CR,CR,CR,CR
,,,,,,,
9E219E8D560272FF,AID004,CCP,CR,CR,CR,CR,CR
9E219E8E56027400,AID011,T7,CR,CR,CR,CR,CR
9E219E8E56027431,AID015,Prisma,CR,CR,CR,CR,CR
9E219E8E5602744E,AID017,CEF,MI,MI,MI,MI,MI
9E219E8E56027468,AID018,XIS,MA,MI,MA,MA,MA
9E219E8E5602747F,AID019,StatistiX,CR,CR,CR,CR,CR
9E219E8E5602748B,AID020,Calypso,CR,CR,CR,CR,CR
9E219E8E560273A5,AID008,WSS,MI,MI,MI,MI,MI
