Business Line,Legal Entity Code,Generic Local name,Comment Body
360 Treasure Systems AG,LE1,360 Treasure Systems AG,
360T AG: Application usage,LE2,360T AG: Application usage,
360T AG: Service usage,LE3,360T AG: Service usage,
CBF: Application usage,LE4,CBF: Application usage,
CBF: Service usage,LE5,CBF: Service usage,
CBL: Application usage,LE6,CBL: Application usage,
CBL: Service usage,LE7,CBL: Service usage,
Clearstream Banking Frankfurt AG,LE8,Clearstream Banking Frankfurt AG,
Clearstream Banking Luxembourg S.A.,LE9,Clearstream Banking Luxembourg S.A.,
Clearstream Holding AG,LE10,Clearstream Holding AG,
Clearstream Holding AG: Application usage,LE11,Clearstream Holding AG: Application usage,
Clearstream Holding AG: Service usage,LE12,Clearstream Holding AG: Service usage,
Clearstream International S.A.,LE13,Clearstream International S.A.,
Clearstream International S.A.: Application usage,LE14,Clearstream International S.A.: Application usage,
Clearstream International S.A.: Service usage,LE15,Clearstream International S.A.: Service usage,
DBG: Application usage,LE16,DBG: Application usage,
DBG: Service usage,LE17,DBG: Service usage,
Deutsche Börse AG,LE18,Deutsche Börse AG,
EEX: Application usage,LE19,EEX: Application usage,
EEX: Service usage,LE20,EEX: Service usage,
Eurex Bonds GmbH,LE21,Eurex Bonds GmbH,
Eurex Bonds GmbH: Application usage,LE22,Eurex Bonds GmbH: Application usage,
Eurex Bonds GmbH: Service usage,LE23,Eurex Bonds GmbH: Service usage,
Eurex Clearing AG,LE24,Eurex Clearing AG,
Eurex Clearing AG: Application usage,LE25,Eurex Clearing AG: Application usage,
Eurex Clearing AG: Service usage,LE26,Eurex Clearing AG: Service usage,
Eurex Frankfurt AG,LE27,Eurex Frankfurt AG,
Eurex Frankfurt AG: Application usage,LE28,Eurex Frankfurt AG: Application usage,
Eurex Frankfurt AG: Service usage,LE29,Eurex Frankfurt AG: Service usage,
Eurex Zürich AG,LE30,Eurex Zürich AG,
Eurex Zürich AG: Application usage,LE31,Eurex Zürich AG: Application usage,
Eurex Zürich AG: Service usage,LE32,Eurex Zürich AG: Service usage,
European Energy Exchange AG,LE33,European Energy Exchange AG,
Lux CSD S.A.,LE34,Lux CSD S.A.,
Lux CSD S.A.: Application usage,LE35,Lux CSD S.A.: Application usage,
Lux CSD S.A.: Service usage,LE36,Lux CSD S.A.: Service usage,
