Name,MetaAttribute Type,Mandatory,MetaAttribute Length,MetaAttribute Format / Cardinality for Linked Objects,Default Value,Remark
Comment,VarChar,yes,4,Standard,,
Converted Name Version,Short,yes,,Enumeration (Opened),,
Generic Local name,String,yes,274,Standard,,
Application,LinkedObject(s),yes,n/a,n,,link/key to Application objects/table
Begin Life Date,AbsoluteDateTime64,yes,,,,
End Life Date,AbsoluteDateTime64,yes,,,,
Decommission Date,AbsoluteDateTime64,yes,,,,
Log,VarChar,no,4,Standard,,
Application Deployment Code,String,no,128,Standard,,
Comment Body,VarChar,no,4,Standard,,
